UserID,Price,Recency,SubDiffDay,Channel_MOBILE,Channel_WEB,PaymentType_Cash,PaymentType_Mobile Payment,PaymentType_Online Credit Card,Discount_No,Discount_Yes,Category_Computers & Laptops,Category_Electronic Accessories,Category_Female Fashion,Category_Female Shoes,Category_Hobbies,Category_Indoor Sports,Category_Kitchen Electronics,Category_Male Fashion,Category_Male Shoes,Category_Outdoor Sports,Category_Smart Phones,Category_Smart Watches,Category_Sound Systems,Category_Sport Shoes,Category_TVs and TV Sets,Age,Gender_MALE,Location_ADANA,Location_ANKARA,Location_ANTALYA,Location_BURSA,Location_ESKISEHIR,Location_ISTANBUL,Location_IZMIR,Location_KAYSERI,Location_TRABZON,Churned
500234730,28.575,517.0,5.0,2,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,33.0,1,0,0,0,0,0,1,0,0,0,1
500234752,482.54999999999995,139.0,1571.0,7,2,5,0,4,9,0,0,0,3,0,0,0,0,0,0,0,4,0,0,1,1,34.0,1,0,0,0,0,0,1,0,0,0,0
500234763,104.55,44.0,269.0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,39.0,1,1,0,0,0,0,0,0,0,0,0
500234829,731.4,18.0,3206.0,15,1,11,4,1,16,0,0,0,7,1,0,0,0,0,0,0,4,0,0,0,4,42.0,1,0,0,0,0,1,0,0,0,0,0
500234840,69.0,395.0,0.0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,1,0,0,1
500234895,120.0,18.0,4597.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.0,1,0,0,0,0,0,1,0,0,0,0
500234928,483.6,170.0,2118.0,5,0,4,1,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,33.0,0,0,0,0,1,0,0,0,0,0,0
500235181,1412.1,6.0,3013.0,0,31,18,1,12,31,0,0,5,12,0,0,0,1,1,2,0,0,0,3,0,7,40.0,0,0,1,0,0,0,0,0,0,0,0
500235214,574.47,258.0,687.0,0,10,9,1,0,10,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4,2,48.0,1,0,0,0,0,1,0,0,0,0,1
500235236,264.0,447.0,19.0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,22.0,1,0,0,0,0,0,1,0,0,0,1
500235247,613.47,17.0,438.0,6,0,2,3,1,6,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,38.0,1,0,0,1,0,0,0,0,0,0,0
500235379,286.5,316.0,852.0,2,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,0,0,1,0,0,0,0,0,0,1
500235533,485.25,50.0,346.0,0,10,6,0,4,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,47.0,0,0,0,0,0,0,1,0,0,0,0
500235764,2372.22,4.0,554.0,3,31,15,4,15,33,1,0,1,0,0,0,0,0,0,0,0,24,0,2,4,3,44.0,1,0,0,0,0,0,0,0,1,0,0
500235885,353.64,89.0,739.0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,40.0,0,0,0,1,0,0,0,0,0,0,0
500236402,1260.0,17.0,512.0,20,0,6,1,13,20,0,0,6,1,1,0,0,0,0,0,0,3,0,0,8,1,43.0,0,1,0,0,0,0,0,0,0,0,0
500236523,108.0,120.0,1293.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,1,0,0,1,0,0,0,0,0,0,0
500236699,4433.3099999999995,17.0,668.0,0,50,4,40,6,50,0,0,0,0,0,0,0,1,0,0,0,1,0,0,46,2,36.0,0,0,0,0,0,0,1,0,0,0,0
